Engine_Size,Cylinders,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,Fuel_Consumption_Comb-1,CO2_Emissions,Fuel_Type_D,Fuel_Type_E,Fuel_Type_N,Fuel_Type_X,Fuel_Type_Z
2.0,4,9.9,6.7,8.5,33,196,False,False,False,False,True
2.4,4,11.2,7.7,9.6,29,221,False,False,False,False,True
1.5,4,6.0,5.8,5.9,48,136,False,False,False,False,True
3.5,6,12.7,9.1,11.1,25,255,False,False,False,False,True
3.5,6,12.1,8.7,10.6,27,244,False,False,False,False,True
3.5,6,11.9,7.7,10.0,28,230,False,False,False,False,True
3.5,6,11.8,8.1,10.1,28,232,False,False,False,False,True
3.7,6,12.8,9.0,11.1,25,255,False,False,False,False,True
3.7,6,13.4,9.5,11.6,24,267,False,False,False,False,True
2.4,4,10.6,7.5,9.2,31,212,False,False,False,False,True
2.4,4,11.2,8.1,9.8,29,225,False,False,False,False,True
3.5,6,12.1,8.3,10.4,27,239,False,False,False,False,True
1.8,4,9.7,6.9,8.4,34,193,False,False,False,False,True
5.9,12,18.0,12.6,15.6,18,359,False,False,False,False,True
5.9,12,18.0,12.6,15.6,18,359,False,False,False,False,True
4.7,8,17.4,11.3,14.7,19,338,False,False,False,False,True
4.7,8,18.1,12.2,15.4,18,354,False,False,False,False,True
4.7,8,17.4,11.3,14.7,19,338,False,False,False,False,True
4.7,8,18.1,12.2,15.4,18,354,False,False,False,False,True
5.9,12,18.0,12.6,15.6,18,359,False,False,False,False,True
2.0,4,9.9,7.4,8.8,32,202,False,False,False,False,True
2.0,4,11.5,8.1,10.0,28,230,False,False,False,False,True
2.0,4,10.8,7.5,9.3,30,214,False,False,False,False,True
2.0,4,11.5,8.1,10.0,28,230,False,False,False,False,True
2.0,4,11.5,8.1,10.0,28,230,False,False,False,False,True
2.0,4,10.8,7.5,9.3,30,214,False,False,False,False,True
2.0,4,12.0,8.1,10.2,28,235,False,False,False,False,True
3.0,6,12.8,8.6,10.9,26,251,False,False,False,False,True
3.0,6,9.8,6.2,8.1,35,217,True,False,False,False,False
3.0,6,13.3,8.5,11.2,25,262,False,False,False,False,True
3.0,6,9.8,6.2,8.1,35,217,True,False,False,False,False
3.0,6,13.1,8.8,11.2,25,258,False,False,False,False,True
4.0,8,13.7,8.3,11.3,25,265,False,False,False,False,True
3.0,6,9.8,6.5,8.4,34,224,True,False,False,False,False
3.0,6,13.1,8.8,11.2,25,258,False,False,False,False,True
4.0,8,14.7,9.7,12.5,23,288,False,False,False,False,True
6.3,12,18.7,11.5,15.5,18,363,False,False,False,False,True
3.0,6,9.8,6.5,8.4,34,224,True,False,False,False,False
2.0,4,11.8,8.8,10.5,27,242,False,False,False,False,True
2.0,4,12.0,8.5,10.4,27,239,False,False,False,False,True
